string length is 10274
quit, freq = 1: (40) 00000101000
life, freq = 1: (41) 00000101001
dull., freq = 1: (46) 00000101110
Residence, freq = 1: (47) 00000101111
certainly, freq = 1: (44) 00000101100
elsewhere, freq = 2: (484) 111100100
something, freq = 5: (169) 10101001
preferred, freq = 3: (263) 100000111
cordially, freq = 1: (45) 00000101101
law., freq = 2: (485) 111100101
Age, freq = 1: (34) 00000100010
surprise, freq = 2: (506) 111111010
formerly, freq = 2: (507) 111111011
mrs, freq = 4: (210) 11010010
perceive, freq = 1: (35) 00000100011
few, freq = 4: (211) 11010011
moderate., freq = 1: (32) 00000100000
Of, freq = 1: (33) 00000100001
power, freq = 1: (38) 00000100110
match, freq = 2: (504) 111111000
worse, freq = 3: (260) 100000100
voice, freq = 1: (39) 00000100111
would., freq = 1: (36) 00000100100
Large, freq = 1: (37) 00000100101
sense, freq = 3: (261) 100000101
shall, freq = 1: (58) 00000111010
learn., freq = 1: (59) 00000111011
By, freq = 1: (56) 00000111000
expect, freq = 1: (57) 00000111001
formal, freq = 1: (62) 00000111110
of., freq = 3: (282) 100011010
Ask, freq = 1: (63) 00000111111
eat, freq = 2: (505) 111111001
questions, freq = 1: (60) 00000111100
abilities, freq = 2: (510) 111111110
described, freq = 1: (61) 00000111101
assurance., freq = 1: (50) 00000110010
Appetite, freq = 1: (51) 00000110011
unlocked, freq = 1: (48) 00000110000
advanced, freq = 2: (511) 111111111
breeding, freq = 1: (49) 00000110001
concerns, freq = 2: (508) 111111100
Cheerful, freq = 1: (54) 00000110110
get, freq = 2: (509) 111111101
shutters, freq = 1: (55) 00000110111
repeated, freq = 3: (283) 100011011
screened., freq = 2: (498) 111110010
cause, freq = 2: (499) 111110011
hopes, freq = 1: (52) 00000110100
three., freq = 1: (53) 00000110101
Prevent, freq = 1: (10) 00000001010
behaved, freq = 2: (496) 111110000
fertile, freq = 2: (497) 111110001
mistake, freq = 1: (11) 00000001011
on., freq = 1: (8) 00000001000
Surprise, freq = 1: (9) 00000001001
steepest, freq = 1: (14) 00000001110
recurred, freq = 1: (15) 00000001111
landlord, freq = 1: (12) 00000001100
wandered, freq = 2: (502) 111110110
amounted, freq = 1: (13) 00000001101
Continuing, freq = 2: (503) 111110111
devonshire, freq = 1: (2) 00000000010
considered, freq = 1: (3) 00000000011
Rose, freq = 1: (0) 00000000000
past, freq = 1: (1) 00000000001
shew, freq = 1: (6) 00000000110
roof, freq = 1: (7) 00000000111
song, freq = 1: (4) 00000000100
neat., freq = 1: (5) 00000000101
depend, freq = 1: (26) 00000011010
better, freq = 2: (500) 111110100
praise, freq = 2: (501) 111110101
friend, freq = 2: (458) 111001010
garden, freq = 3: (280) 100011000
to., freq = 3: (281) 100011001
Intention, freq = 1: (27) 00000011011
age, freq = 3: (286) 100011110
otherwise, freq = 1: (24) 00000011000
breakfast., freq = 1: (25) 00000011001
Around, freq = 1: (30) 00000011110
beyond, freq = 1: (31) 00000011111
extent, freq = 2: (459) 111001011
Husbands, freq = 1: (28) 00000011100
resolved, freq = 2: (456) 111001000
laughter, freq = 2: (457) 111001001
debating., freq = 1: (29) 00000011101
cordial, freq = 3: (287) 100011111
visitor, freq = 1: (18) 00000010010
noisier, freq = 1: (19) 00000010011
fat, freq = 2: (462) 111001110
subject, freq = 1: (16) 00000010000
general, freq = 1: (17) 00000010001
picture., freq = 1: (22) 00000010110
Or, freq = 2: (463) 111001111
offering, freq = 3: (284) 100011100
confined, freq = 1: (23) 00000010111
no., freq = 2: (460) 111001100
Nay, freq = 1: (20) 00000010100
rapturous, freq = 1: (21) 00000010101
see, freq = 5: (174) 10101110
residence., freq = 1: (106) 00001101010
Highly, freq = 1: (107) 00001101011
talked, freq = 2: (461) 111001101
vulgar., freq = 1: (104) 00001101000
Her, freq = 2: (450) 111000010
use, freq = 3: (285) 100011101
natural, freq = 1: (105) 00001101001
feeling., freq = 1: (110) 00001101110
Exquisite, freq = 1: (111) 00001101111
incommode, freq = 1: (108) 00001101100
immediate, freq = 1: (109) 00001101101
ourselves, freq = 2: (451) 111000011
Law, freq = 1: (98) 00001100010
conduct, freq = 1: (99) 00001100011
chiefly, freq = 1: (96) 00001100000
beloved, freq = 1: (97) 00001100001
examine, freq = 1: (102) 00001100110
village, freq = 1: (103) 00001100111
proceed., freq = 1: (100) 00001100100
Performed, freq = 1: (101) 00001100101
suspicion, freq = 1: (122) 00001111010
certainty, freq = 2: (448) 111000000
frankness, freq = 3: (274) 100010010
by, freq = 3: (275) 100010011
attention, freq = 1: (123) 00001111011
pretended., freq = 1: (120) 00001111000
Newspaper, freq = 1: (121) 00001111001
tolerably, freq = 2: (449) 111000001
education, freq = 2: (454) 111000110
enjoyment., freq = 1: (126) 00001111110
Extremity, freq = 2: (455) 111000111
excellent, freq = 2: (452) 111000100
sincerity, freq = 2: (453) 111000101
resembled., freq = 1: (127) 00001111111
Joy, freq = 1: (124) 00001111100
house, freq = 1: (125) 00001111101
arise, freq = 1: (114) 00001110010
total, freq = 1: (115) 00001110011
boy, freq = 4: (208) 11010000
but., freq = 1: (112) 00001110000
Elderly, freq = 2: (474) 111011010
chicken, freq = 1: (113) 00001110001
feeling, freq = 1: (118) 00001110110
is., freq = 1: (119) 00001110111
Like, freq = 1: (116) 00001110100
seen, freq = 1: (117) 00001110101
drew, freq = 1: (74) 00001001010
make, freq = 1: (75) 00001001011
fond, freq = 2: (475) 111011011
rent., freq = 1: (72) 00001001000
Behaviour, freq = 1: (73) 00001001001
extremely, freq = 2: (472) 111011000
explained, freq = 2: (473) 111011001
situation, freq = 1: (78) 00001001110
september, freq = 1: (79) 00001001111
gentleman, freq = 1: (76) 00001001100
who., freq = 2: (478) 111011110
Is, freq = 2: (479) 111011111
thought, freq = 2: (476) 111011100
pointed, freq = 1: (77) 00001001101
hearing, freq = 1: (66) 00001000010
norland, freq = 1: (67) 00001000011
produce, freq = 1: (64) 00001000000
wishing., freq = 1: (65) 00001000001
To, freq = 2: (477) 111011101
figure, freq = 1: (70) 00001000110
spring, freq = 1: (71) 00001000111
season, freq = 1: (68) 00001000100
up., freq = 1: (69) 00001000101
provision, freq = 1: (90) 00001011010
acuteness, freq = 1: (91) 00001011011
had, freq = 4: (209) 11010001
intention., freq = 1: (88) 00001011000
As, freq = 5: (175) 10101111
called, freq = 1: (89) 00001011001
needed, freq = 1: (94) 00001011110
at., freq = 2: (466) 111010010
Assistance, freq = 1: (95) 00001011111
imprudence, freq = 1: (92) 00001011100
sentiments, freq = 1: (93) 00001011101
unpleasant, freq = 1: (82) 00001010010
expression, freq = 1: (83) 00001010011
surrounded, freq = 1: (80) 00001010000
not., freq = 1: (81) 00001010001
Be, freq = 1: (86) 00001010110
ye, freq = 5: (172) 10101100
secure, freq = 2: (467) 111010011
nearer., freq = 1: (87) 00001010111
Living, freq = 1: (84) 00001010100
valley, freq = 1: (85) 00001010101
merits, freq = 1: (426) 00110101010
esteem, freq = 3: (272) 100010000
bed., freq = 1: (427) 00110101011
last, freq = 2: (464) 111010000
wise, freq = 1: (424) 00110101000
left., freq = 1: (425) 00110101001
Visited, freq = 1: (430) 00110101110
civilly, freq = 1: (431) 00110101111
colonel, freq = 1: (428) 00110101100
So, freq = 2: (465) 111010001
interested, freq = 1: (429) 00110101101
sentiments., freq = 1: (418) 00110100010
Vanity, freq = 1: (419) 00110100011
giving, freq = 1: (416) 00110100000
points, freq = 1: (417) 00110100001
within, freq = 2: (470) 111010110
six, freq = 2: (471) 111010111
not, freq = 2: (468) 111010100
Few, freq = 1: (422) 00110100110
impression, freq = 1: (423) 00110100111
difficulty, freq = 2: (469) 111010101
decisively., freq = 1: (420) 00110100100
allowance, freq = 2: (298) 0100101010
instantly, freq = 1: (421) 00110100101
strangers, freq = 3: (273) 100010001
applauded, freq = 4: (214) 11010110
so., freq = 3: (278) 100010110
Separate, freq = 1: (442) 00110111010
welcomed, freq = 1: (443) 00110111011
sensible, freq = 1: (440) 00110111000
laughing, freq = 1: (441) 00110111001
moderate, freq = 2: (299) 0100101011
shy., freq = 1: (446) 00110111110
We, freq = 1: (447) 00110111111
seeing, freq = 1: (444) 00110111100
piqued, freq = 2: (296) 0100101000
merry, freq = 1: (445) 00110111101
least, freq = 2: (297) 0100101001
stood., freq = 1: (434) 00110110010
And, freq = 2: (302) 0100101110
cold, freq = 1: (435) 00110110011
sons, freq = 1: (432) 00110110000
with., freq = 1: (433) 00110110001
Delivered, freq = 1: (438) 00110110110
middleton, freq = 2: (303) 0100101111
therefore, freq = 1: (439) 00110110111
Attachment, freq = 1: (436) 00110110100
companions, freq = 2: (300) 0100101100
pianoforte., freq = 1: (437) 00110110101
Able, freq = 1: (394) 00110001010
hope, freq = 1: (395) 00110001011
body., freq = 1: (392) 00110001000
Any, freq = 1: (393) 00110001001
shyness, freq = 2: (301) 0100101101
article, freq = 1: (398) 00110001110
matters, freq = 1: (399) 00110001111
own, freq = 2: (290) 0100100010
nothing, freq = 1: (396) 00110001100
forming., freq = 1: (397) 00110001101
additions, freq = 2: (291) 0100100011
satisfied, freq = 1: (386) 00110000010
perpetual., freq = 1: (387) 00110000011
If, freq = 2: (288) 0100100000
manor, freq = 1: (384) 00110000000
happy., freq = 1: (385) 00110000001
Without, freq = 1: (390) 00110000110
farther, freq = 1: (391) 00110000111
exposed, freq = 1: (388) 00110000100
led., freq = 2: (289) 0100100001
Along, freq = 1: (389) 00110000101
happy, freq = 1: (410) 00110011010
cease, freq = 1: (411) 00110011011
green, freq = 1: (408) 00110011000
oh., freq = 2: (294) 0100100110
Far, freq = 2: (295) 0100100111
quitting, freq = 1: (409) 00110011001
graceful, freq = 2: (292) 0100100100
received, freq = 3: (279) 100010111
building., freq = 1: (414) 00110011110
fact, freq = 1: (415) 00110011111
that, freq = 2: (293) 0100100101
show, freq = 2: (314) 0100111010
shed, freq = 1: (412) 00110011100
sold, freq = 1: (413) 00110011101
cold., freq = 1: (402) 00110010010
Unaffected, freq = 2: (315) 0100111011
remarkably, freq = 1: (403) 00110010011
introduced, freq = 1: (400) 00110010000
terminated, freq = 1: (401) 00110010001
Result, freq = 1: (406) 00110010110
either, freq = 1: (407) 00110010111
design, freq = 1: (404) 00110010100
and., freq = 1: (405) 00110010101
ashamed, freq = 1: (490) 00111101010
inhabit, freq = 1: (491) 00111101011
ferrars, freq = 1: (488) 00111101000
besides, freq = 2: (312) 0100111000
resolve., freq = 1: (489) 00111101001
Own, freq = 1: (494) 00111101110
directly, freq = 1: (495) 00111101111
trifling., freq = 1: (492) 00111101100
pursuit, freq = 1: (493) 00111101101
regular, freq = 1: (482) 00111100010
parlors., freq = 1: (483) 00111100011
Rank, freq = 1: (480) 00111100000
what, freq = 1: (481) 00111100001
into, freq = 1: (486) 00111100110
sorry, freq = 1: (487) 00111100111
world, freq = 1: (484) 00111100100
spoil, freq = 1: (485) 00111100101
along., freq = 1: (506) 00111111010
Incommode, freq = 1: (507) 00111111011
depending, freq = 3: (276) 100010100
remainder, freq = 1: (504) 00111111000
Edward, freq = 1: (505) 00111111001
almost, freq = 1: (510) 00111111110
active, freq = 1: (511) 00111111111
thirty, freq = 3: (277) 100010101
piqued., freq = 1: (508) 00111111100
People, freq = 1: (509) 00111111101
period, freq = 1: (498) 00111110010
twenty, freq = 1: (499) 00111110011
Set, freq = 2: (313) 0100111001
was, freq = 1: (496) 00111110000
abroad, freq = 1: (497) 00111110001
ham, freq = 1: (502) 00111110110
plenty, freq = 1: (503) 00111110111
Admiration, freq = 1: (500) 00111110100
sir, freq = 2: (318) 0100111110
decisively, freq = 2: (319) 0100111111
everything, freq = 2: (316) 0100111100
inhabiting, freq = 1: (501) 00111110101
acceptance., freq = 1: (458) 00111001010
Sooner, freq = 1: (459) 00111001011
settle, freq = 1: (456) 00111001000
sudden, freq = 2: (317) 0100111101
him., freq = 1: (457) 00111001001
concluded, freq = 2: (306) 0100110010
extremity., freq = 1: (462) 00111001110
Want, freq = 1: (463) 00111001111
four, freq = 2: (307) 0100110011
we, freq = 3: (298) 100101010
face, freq = 1: (460) 00111001100
gate., freq = 1: (461) 00111001101
played, freq = 1: (450) 00111000010
ladies, freq = 2: (304) 0100110000
answer, freq = 1: (451) 00111000011
little, freq = 1: (448) 00111000000
nature., freq = 1: (449) 00111000001
Blessing, freq = 2: (305) 0100110001
formerly., freq = 1: (454) 00111000110
Took, freq = 1: (455) 00111000111
spot, freq = 1: (452) 00111000100
size, freq = 1: (453) 00111000101
you., freq = 1: (474) 00111011010
Outlived, freq = 1: (475) 00111011011
material., freq = 1: (472) 00111011000
Him, freq = 2: (310) 0100110110
outweigh, freq = 2: (311) 0100110111
Demesne, freq = 1: (473) 00111011001
far, freq = 1: (478) 00111011110
hearted, freq = 1: (479) 00111011111
suppose, freq = 1: (476) 00111011100
venture, freq = 1: (477) 00111011101
excited, freq = 1: (466) 00111010010
has., freq = 2: (308) 0100110100
Dependent, freq = 2: (309) 0100110101
Yet, freq = 1: (467) 00111010011
﻿no, freq = 1: (464) 00111010000
jokes, freq = 1: (465) 00111010001
why., freq = 1: (470) 00111010110
Bed, freq = 1: (471) 00111010111
supposing, freq = 1: (468) 00111010100
fulfilled, freq = 1: (469) 00111010101
questions., freq = 1: (298) 00100101010
Whatever, freq = 1: (299) 00100101011
exertion, freq = 1: (296) 00100101000
extended., freq = 2: (266) 0100001010
baobab, freq = 1: (297) 00100101001
believed, freq = 1: (302) 00100101110
diverted, freq = 1: (303) 00100101111
rejoiced., freq = 1: (300) 00100101100
End, freq = 1: (301) 00100101101
friendship, freq = 2: (267) 0100001011
can, freq = 4: (215) 11010111
prosperous, freq = 1: (290) 00100100010
met., freq = 1: (291) 00100100011
game, freq = 1: (288) 00100100000
park, freq = 1: (289) 00100100001
do., freq = 1: (294) 00100100110
Was, freq = 1: (295) 00100100111
unknown, freq = 1: (292) 00100100100
certain, freq = 1: (293) 00100100101
ten, freq = 3: (299) 100101011
promise., freq = 1: (314) 00100111010
No, freq = 1: (315) 00100111011
finished, freq = 1: (312) 00100111000
cheerful, freq = 1: (313) 00100111001
packages, freq = 1: (318) 00100111110
we., freq = 3: (296) 100101000
assurance, freq = 3: (297) 100101001
collected., freq = 1: (319) 00100111111
Packages, freq = 1: (316) 00100111100
denoting, freq = 1: (317) 00100111101
humoured., freq = 1: (306) 00100110010
Pressed, freq = 1: (307) 00100110011
natural., freq = 1: (304) 00100110000
Answer, freq = 1: (305) 00100110001
misery, freq = 1: (310) 00100110110
adieus, freq = 1: (311) 00100110111
wooded, freq = 1: (308) 00100110100
men, freq = 2: (264) 0100001000
before, freq = 1: (309) 00100110101
though., freq = 1: (266) 00100001010
Pretended, freq = 1: (267) 00100001011
belonging, freq = 1: (264) 00100001000
contented, freq = 1: (265) 00100001001
suffering, freq = 2: (265) 0100001001
favourite, freq = 2: (270) 0100001110
continual., freq = 1: (270) 00100001110
Mrs, freq = 1: (271) 00100001111
civil, freq = 1: (268) 00100001100
means, freq = 1: (269) 00100001101
tried, freq = 1: (258) 00100000010
drift., freq = 1: (259) 00100000011
Natural, freq = 1: (256) 00100000000
whether, freq = 1: (257) 00100000001
towards, freq = 1: (262) 00100000110
certain., freq = 1: (263) 00100000111
Furnished, freq = 1: (260) 00100000100
unfeeling, freq = 1: (261) 00100000101
sometimes, freq = 2: (271) 0100001111
promotion., freq = 1: (282) 00100011010
Quitting, freq = 1: (283) 00100011011
informed, freq = 1: (280) 00100011000
now., freq = 1: (281) 00100011001
Projection, freq = 1: (286) 00100011110
conviction, freq = 2: (268) 0100001100
uncommonly, freq = 1: (287) 00100011111
delightful, freq = 1: (284) 00100011100
continuing., freq = 1: (285) 00100011101
appetite, freq = 1: (274) 00100010010
ecstatic, freq = 1: (275) 00100010011
opinions, freq = 2: (269) 0100001101
hastened, freq = 2: (258) 0100000010
handsome, freq = 1: (272) 00100010000
admitted., freq = 1: (273) 00100010001
relation, freq = 1: (278) 00100010110
screened, freq = 2: (259) 0100000011
doubtful., freq = 1: (279) 00100010111
Overcame, freq = 1: (276) 00100010100
insisted, freq = 1: (277) 00100010101
trifling, freq = 1: (362) 00101101010
husbands., freq = 1: (363) 00101101011
Might, freq = 1: (360) 00101101000
order, freq = 1: (361) 00101101001
found., freq = 1: (366) 00101101110
impossible, freq = 2: (256) 0100000000
diminution., freq = 1: (367) 00101101111
Did, freq = 1: (364) 00101101100
carriage, freq = 1: (365) 00101101101
learning, freq = 1: (354) 00101100010
its, freq = 1: (355) 00101100011
replying., freq = 1: (352) 00101100000
Sister, freq = 1: (353) 00101100001
enable, freq = 1: (358) 00101100110
spirit, freq = 1: (359) 00101100111
really., freq = 1: (356) 00101100100
Parish, freq = 1: (357) 00101100101
oppose, freq = 1: (378) 00101111010
repair, freq = 1: (379) 00101111011
misery., freq = 1: (376) 00101111000
Quick, freq = 2: (257) 0100000001
style, freq = 1: (377) 00101111001
after, freq = 1: (382) 00101111110
money, freq = 2: (262) 0100000110
mrs., freq = 1: (383) 00101111111
Ignorant, freq = 1: (380) 00101111100
drawings, freq = 1: (381) 00101111101
laughter., freq = 1: (370) 00101110010
Case, freq = 1: (371) 00101110011
away, freq = 1: (368) 00101110000
sigh, freq = 1: (369) 00101110001
here, freq = 1: (374) 00101110110
upon., freq = 1: (375) 00101110111
Acuteness, freq = 1: (372) 00101110100
exquisite, freq = 2: (263) 0100000111
forfeited., freq = 1: (373) 00101110101
Enquire, freq = 1: (330) 00101001010
without, freq = 1: (331) 00101001011
garrets, freq = 1: (328) 00101001000
himself., freq = 1: (329) 00101001001
Interest, freq = 1: (334) 00101001110
our, freq = 2: (260) 0100000100
followed, freq = 1: (335) 00101001111
was., freq = 1: (332) 00101001100
Cultivated, freq = 1: (333) 00101001101
solicitude, freq = 1: (322) 00101000010
unpleasant., freq = 1: (323) 00101000011
Oh, freq = 3: (302) 100101110
acceptance, freq = 1: (320) 00101000000
apartments, freq = 2: (261) 0100000101
astonished, freq = 3: (303) 100101111
delightful., freq = 1: (321) 00101000001
Waiting, freq = 1: (326) 00101000110
lasting, freq = 1: (327) 00101000111
towards., freq = 1: (324) 00101000100
melancholy, freq = 2: (282) 0100011010
unpleasing, freq = 1: (325) 00101000101
attachment, freq = 1: (346) 00101011010
announcing, freq = 1: (347) 00101011011
astonished., freq = 1: (344) 00101011000
What, freq = 1: (345) 00101011001
leaf, freq = 1: (350) 00101011110
upon, freq = 1: (351) 00101011111
door., freq = 1: (348) 00101011100
Tended, freq = 1: (349) 00101011101
remain, freq = 1: (338) 00101010010
stairs., freq = 1: (339) 00101010011
smiling, freq = 1: (336) 00101010000
amiable, freq = 1: (337) 00101010001
visited, freq = 1: (342) 00101010110
offices, freq = 2: (283) 0100011011
hearted., freq = 1: (343) 00101010111
Breakfast, freq = 1: (340) 00101010100
happiness, freq = 1: (341) 00101010101
frankness., freq = 1: (682) 01010101010
Met, freq = 1: (683) 01010101011
Entreaties, freq = 1: (680) 01010101000
estimating, freq = 1: (681) 01010101001
cultivated., freq = 1: (686) 01010101110
additions., freq = 1: (687) 01010101111
Pronounce, freq = 1: (684) 01010101100
suspected., freq = 1: (685) 01010101101
elinor, freq = 1: (674) 01010100010
temper., freq = 1: (675) 01010100011
Quiet, freq = 1: (672) 01010100000
leave, freq = 2: (280) 0100011000
gay, freq = 2: (281) 0100011001
large, freq = 1: (673) 01010100001
Abilities, freq = 1: (678) 01010100110
perfectly, freq = 1: (679) 01010100111
pretended, freq = 2: (286) 0100011110
exquisite., freq = 1: (676) 01010100100
another, freq = 1: (677) 01010100101
chamber, freq = 1: (698) 01010111010
pleased, freq = 1: (699) 01010111011
imagine, freq = 2: (287) 0100011111
in., freq = 2: (284) 0100011100
Went, freq = 1: (696) 01010111000
loud, freq = 1: (697) 01010111001
shot, freq = 1: (702) 01010111110
draw., freq = 1: (703) 01010111111
Excellent, freq = 1: (700) 01010111100
smallness., freq = 1: (701) 01010111101
Removal, freq = 1: (690) 01010110010
request, freq = 1: (691) 01010110011
delight, freq = 1: (688) 01010110000
themselves., freq = 1: (689) 01010110001
Offended, freq = 1: (694) 01010110110
consider, freq = 1: (695) 01010110111
speaking., freq = 1: (692) 01010110100
Questions, freq = 1: (693) 01010110101
too, freq = 1: (650) 01010001010
son., freq = 2: (285) 0100011101
distant., freq = 1: (651) 01010001011
Improve, freq = 1: (648) 01010001000
message, freq = 1: (649) 01010001001
himself, freq = 1: (654) 01010001110
cheered, freq = 1: (655) 01010001111
however, freq = 1: (652) 01010001100
judge, freq = 1: (653) 01010001101
first, freq = 1: (642) 01010000010
chief, freq = 1: (643) 01010000011
her., freq = 2: (274) 0100010010
Indeed, freq = 1: (640) 01010000000
always, freq = 1: (641) 01010000001
seemed, freq = 1: (646) 01010000110
narrow, freq = 1: (647) 01010000111
be., freq = 1: (644) 01010000100
Instantly, freq = 1: (645) 01010000101
neglected, freq = 1: (666) 01010011010
delivered., freq = 1: (667) 01010011011
Perhaps, freq = 1: (664) 01010011000
brandon, freq = 1: (665) 01010011001
cottage., freq = 1: (670) 01010011110
Fulfilled, freq = 1: (671) 01010011111
direction, freq = 1: (668) 01010011100
continual, freq = 1: (669) 01010011101
propriety, freq = 1: (658) 01010010010
continued., freq = 1: (659) 01010010011
Saw, freq = 1: (656) 01010010000
deficient, freq = 1: (657) 01010010001
engrossed, freq = 1: (662) 01010010110
concealed, freq = 1: (663) 01010010111
Concluded, freq = 1: (660) 01010010100
perpetual, freq = 1: (661) 01010010101
supposing., freq = 1: (746) 01011101010
Farther, freq = 1: (747) 01011101011
related, freq = 1: (744) 01011101000
comfort, freq = 1: (745) 01011101001
civilly., freq = 1: (750) 01011101110
Dashwoods, freq = 1: (751) 01011101111
objection, freq = 1: (748) 01011101100
the., freq = 2: (275) 0100010011
produced, freq = 1: (749) 01011101101
prospect, freq = 1: (738) 01011100010
am., freq = 1: (739) 01011100011
Placing, freq = 1: (736) 01011100000
forming, freq = 1: (737) 01011100001
looking, freq = 1: (742) 01011100110
married, freq = 1: (743) 01011100111
Margaret, freq = 1: (740) 01011100100
disposed, freq = 1: (741) 01011100101
rendered, freq = 1: (762) 01011111010
striking, freq = 1: (763) 01011111011
confined., freq = 1: (760) 01011111000
It, freq = 1: (761) 01011111001
furnished, freq = 1: (766) 01011111110
unwilling, freq = 1: (767) 01011111111
peculiar, freq = 1: (764) 01011111100
ham., freq = 1: (765) 01011111101
Sussex, freq = 1: (754) 01011110010
really, freq = 1: (755) 01011110011
elinor., freq = 1: (752) 01011110000
properly, freq = 1: (753) 01011110001
Advice, freq = 1: (758) 01011110110
branch, freq = 1: (759) 01011110111
living., freq = 1: (756) 01011110100
disposing, freq = 2: (272) 0100010000
admitting, freq = 1: (757) 01011110101
sportsmen, freq = 1: (714) 01011001010
sportsman., freq = 1: (715) 01011001011
Their, freq = 1: (712) 01011001000
widen, freq = 1: (713) 01011001001
any., freq = 1: (718) 01011001110
smart, freq = 1: (719) 01011001111
those, freq = 2: (273) 0100010001
Am, freq = 1: (716) 01011001100
wrote, freq = 1: (717) 01011001101
whole, freq = 1: (706) 01011000010
tears, freq = 1: (707) 01011000011
Absolute, freq = 1: (704) 01011000000
required, freq = 1: (705) 01011000001
reserved, freq = 2: (278) 0100010110
How, freq = 1: (710) 01011000110
found, freq = 1: (711) 01011000111
again, freq = 1: (708) 01011000100
taken, freq = 1: (709) 01011000101
Had, freq = 1: (730) 01011011010
desirous, freq = 1: (731) 01011011011
overcame., freq = 1: (728) 01011011000
Improved, freq = 1: (729) 01011011001
property, freq = 1: (734) 01011011110
disposal, freq = 1: (735) 01011011111
me., freq = 1: (732) 01011011100
over, freq = 1: (733) 01011011101
man., freq = 1: (722) 01011010010
simple, freq = 1: (723) 01011010011
assure., freq = 1: (720) 01011010000
Mr, freq = 1: (721) 01011010001
continued, freq = 1: (726) 01011010110
arranging, freq = 1: (727) 01011010111
agreement., freq = 1: (724) 01011010100
Off, freq = 1: (725) 01011010101
mistress, freq = 1: (554) 01000101010
provided, freq = 1: (555) 01000101011
horrible, freq = 1: (552) 01000101000
opinions., freq = 1: (553) 01000101001
Prevailed, freq = 1: (558) 01000101110
uncommon, freq = 1: (559) 01000101111
Runtime: 0.030051 seconds


Text # chars: 10274
Storage used: 82192 bits
New storage : 15182 bits
ratio       : 82 %
